"'There	1
"A	1
"Ah,	1
"As	1
"At	1
"Be	1
"Characteristics	1
"Coptic	1
"Don't	1
"Each	1
"Es	1
"Fable	1
"For	1
"Goethe's	1
"Ha!	1
"He	2
"Here's	1
"I	3
"If,	1
"In	5
"Kommt,	1
"Kühn	1
"Minstrel"	1
"My	3
"No	1
"Now,	1
"Silent	1
"That	1
"The	6
"Translations	1
"Two	1
"Were	1
"When	1
"Yes"	1
"Yet	1
"You	1
"_All	1
"_a	1
"ill-gotten	1
"in	1
"is	1
"maxims"	1
"original	1
"shame!"	1
"the	1
"there	1
"to	1
#14591]	1
$5,000)	1
'Don	1
'It	1
'Mid	1
'Roman	1
'Tis	44
'Twas	5
'Twere	3
'Twill	3
'Twixt	1
'Twould	4
'em!	1
'em,--	1
'scape	1
't	2
't,	1
't.	1
'the	1
'tis	43
'tis,	1
'twas	5
'twas,	1
'twere	7
'twill	4
'twould,	1
($1	1
(801)	1
(Book	1
(Chime	1
(FAUST	4
(FAUST,	1
(MARGARET	3
(MEPHISTOPHELES	4
(Part	2
(The	1
(These	1
(_A	3
(_A_	1
(_After	1
(_All	1
(_Aloud_)	1
(_Aloud_.)	1
(_As	1
(_Caressing	1
(_Clasping	1
(_Closes	1
(_Dance	1
(_Dies_.)	1
(_Disappears_.)	1
(_Enter_	2
(_Entering,	1
(_Faust's	1
(_He	26
(_Heaven	1
(_In	2
(_In_	1
(_Margaret's	1
(_Murmurs,	1
(_Pedestrians	1
(_Perceiving	1
(_Perceiving_	1
(_Pours	1
(_She	13
(_Sings	1
(_Sings_.)	3
(_Steps	1
(_The	5
(_The_	3
(_They	6
(_To	4
(_To_	3
(_Upon	1
(_Valentine's	1
(_Whispering_)	1
(_With	1
(_a	1
(_adorning	1
(_after	1
(_aloud_)	2
(_appears	1
(_approaching	1
(_as	4
(_as_	1
(_aside	1
(_aside_)	4
(_at	3
(_attentively	1
(_before	1
(_begins	1
(_below_)	2
(_bores:	1
(_boring	1
(_boring_)	1
(_charming	1
(_chorus_)	1
(_clasping	1
(_comes	2
(_comes_)	1
(_coming	3
(_coming_)	1
(_continues_)	2
(_dancing	2
(_dancing_)	3
(_draws	1
(_drinks	1
(_entering_)	1
(_falling	1
(_flinging	1
(_from	6
(_half	1
(_hiding	1
(_in	5
(_invisible_)	1
(_jails_)	1
(_laughs	1
(_looking	1
(_on	1
(_overwhelmed_)	1
(_peeping	1
(_plaiting	1
(_plucking	1
(_pointing	1
(_pounding	1
(_prying	1
(_putting	1
(_reads_)	1
(_returning	1
(_reversing	1
(_semichorus_)	1
(_shouting_)	2
(_sing_)	1
(_sings_)	3
(_solus_)	4
(_stamping	1
(_struggling	1
(_takes	1
(_taking	1
(_throwing	1
(_to	3
(_to_	12
(_towards	2
(_turning	1
(_weeping_)	1
(_while	1
(_whispering_)	1
(_who	3
(_with	6
(a)	1
(and	1
(any	1
(b)	1
(c)	1
(does	1
(especially	1
(having	1
(if	1
(in	1
(my	1
(nevertheless	1
(or	3
(reported	1
(trademark/copyright)	1
(triple)	1
(www.gutenberg.org),	1
(“the	1
***	4
-	3
--it	1
1.	1
1.A.	1
1.B.	1
1.C	1
1.C.	1
1.D.	1
1.E	1
1.E.	1
1.E.1	3
1.E.1.	2
1.E.2.	1
1.E.3.	1
1.E.4.	1
1.E.5.	1
1.E.6.	1
1.E.7	2
1.E.7.	1
1.E.8	2
1.E.8.	2
1.E.9.	3
1.F.	1
1.F.1.	1
1.F.2.	1
1.F.3,	3
1.F.3.	2
1.F.4.	1
1.F.5.	1
1.F.6.	1
15,	1
1500	1
1797.	1
1828.	1
1831.	1
1856)	1
1].	4
2.	1
20%	1
2001,	1
2005	1
2023	1
3	2
3.	1
30	1
4	1
4,	2
4.	1
5.	1
50	1
501(c)(3)	1
596-1887.	1
60	1
64-6221541.	1
809	1
84116,	1
90	2
=Dedication=]	1
=Prelude	1
A	140
ACTUAL,	1
ADROIT	1
AGE	1
AGREE	2
AGREEMENT	1
ALL	3
ALTMAYER	21
AMERICA	1
AN	3
AND	8
ANDREW	1
ANGELS	2
ANGELS.32	1
ANIMALS	5
ANOTHER	2
ANTHEM.	1
ANY	3
ANYTHING	1
APPRENTICE	2
APPRENTICES	1
ARCHANGELS	2
ARIEL	2
ARTIST	1
ASCII”	2
AT	3
AUERBACH'S	2
AUTHOR	1
AWKWARD	1
Abominable	1
Abomination,	1
Abortion,	1
About	2
Above	2
Absurder	1
Accurséd	2
Action's	2
Adam's	1
Additional	1
Address	1
Adieu!	1
Aeolian	1
Aeonen	1
Aether,	1
Again	5
Against	2
Agatha!	1
Age	1
Age's	1
Ages	2
Agonistes_.	1
Agreed!	1
Ah!	6
Ah,	33
Aha!	1
Air	2
Air?	1
Al'e!--Häuptling	1
Alack,	1
Alas!	3
Alas,	3
All	23
All,	2
All-enfolding,	1
All-upholding,	1
Aller	1
Alles,	1
Allow	1
Almighty	1
Aloft	1
Alone	1
Alone,	2
Along	2
Alpine	1
Already	4
Also	2
Alternately	1
Always	1
Am	2
Amid	1
Among	6
Amused	1
An	6
An't	1
Ancestral	1
Ancient's	1
And	430
And,	22
Andrew's	1
Animals	1
Animals.	1
Animals_)	4
Announce	1
Another	2
Another,	1
Anster's	2
Antony,	1
Any	1
Apes,	1
Apples	1
April	1
Arches	2
Archive	13
Are	15
Ariel's	1
Around	4
Art	5
Artist,	1
As	55
Ask	2
Assume	1
Assuredly.	1
At	19
Attention!	1
Austin,	1
Author:	1
Avenger,	1
Avenging	1
Away!	1
Away,	2
Ay!	1
B.T.	2
BAND	2
BE	1
BEFORE	4
BEGGAR	1
BOTH	3
BRANDER	18
BRANDER'S	1
BRANDER)	1
BREACH	2
BUT	1
BY	2
Back	5
Bad,	1
Balm,	1
Barbara?	1
Bard	1
Baron	1
Base	2
Baubo	1
Baubo's	1
Bayard	1
Be	13
Bears	2
Beasts,	1
Beautiful	1
Beauty!	1
Beauty's	1
Beckons	2
Beelzebub,	1
Before	11
Beginning	4
Behind	5
Behold	2
Behold,	1
Being,	2
Believe	1
Believest	1
Beneficence	1
Bergab	1
Beside	1
Besides,	2
Betake	2
Better	1
Better,	1
Beware	1
Beware!	1
Beware,	1
Beyond	2
Bid	1
Birth	1
Black	1
Blas,	2
Blessing,	1
Blest	1
Bliss	2
Bliss!	1
Bloated-bellied,	1
Blocksberg	4
Blood	1
Blossoming	1
Body	2
Bold	4
Boldly	1
Book	2
Book,	1
Born	1
Both	5
Boughs	1
Bower	1
Brandung	1
Brass,	1
Bravo!	1
Break	2
Breathing	1
Brides	1
Brightlier	1
Bring	3
Brocken's	2
Brooks	2
Brooks,	1
Broomstick,	1
Brother!	2
Brotherly	1
Bub'	1
Build	1
Burg	1
Burgdorf?	1
Burgomaster!	1
Burn	1
Burst	2
But	104
But,	6
By	18
Byron's	1
CAROUSAL	1
CATHEDRAL	2
CAVERN	2
CELLAR	2
CHAMBER	1
CHORUS	16
CHORUSES	3
CI-DEVANT	1
CITIZEN	3
CITIZEN'S	2
CITY-GATE	2
CLEVELAND,	1
COMPANIONS	1
COMPANY	1
CONSEQUENTIAL,	1
CONTENTS	1
CONTRACT	1
COUPLE	1
CRANE	1
Call	2
Called	1
Calling	2
Camp	1
Can	6
Cannot	1
Canst	4
Capitulate	1
Care	1
Carlyle,[F]	1
Carousing,	1
Cast	1
Castle	2
Castles,	1
Cathedral	1
Cease	1
Ceiling	1
Certainty.	1
Champagne	1
Chancellor	1
Change	1
Chaos,	1
Chemistry	1
Cherub,	1
Chiefly,	1
Childhood's	1
Christ	4
Christian,	1
Christianity.	1
Christmas	1
Chuck	1
Church	2
Church,	1
Circling	1
Circumstance!	1
Citizen's	1
City,	1
Clarke	1
Clarke_	1
Clasp	1
Cleanlily	1
Clearly	1
Clement	1
Cling!	1
Clinging,	1
Cloud	1
Clouds	2
Com'st	1
Come	15
Come!	3
Come,	10
Comes	1
Cometh	1
Commence,	1
Commend	1
Compact_)	1
Compliance	1
Compress	1
Confess,	1
Confines	1
Consider	1
Contact	1
Contentment	1
Continue,	1
Contradiction!	1
Contributions	1
Copyright	1
Corruption's	1
Could	4
Couldst	1
Counsel	1
Covenant	1
Cover,	1
Craving	1
Creating	1
Creation	2
Creation's	2
Creative	3
Credits:	1
Critics":	1
Cross-wise	1
Crowded	1
Crush	1
Culture,	1
Cum	1
Cupid	1
Curly-head,	1
Cursed	6
Cursed,	2
Custom,	1
Cut	1
D'ye	1
DAMAGE.	1
DAMAGES	2
DANCER	1
DANCING-MASTER	1
DAUGHTER	2
DAY	2
DEDICATION	1
DIRECT,	1
DISCIPLES	1
DISCLAIMER	1
DISTRIBUTE	1
DISTRIBUTOR	1
DOGMATIST	1
DONATIONS	1
DONJON	2
DOOR	1
DOST	1
DRAMATIC	1
DREAM	1
DREARY	2
DUNGEON	2
Dame	3
Dances	1
Dare	1
Darf	1
Darkness	1
Darting	1
Das	1
Daughter_)	1
Day	7
Day's	1
Day.	1
Day?	1
Days	1
Dear	4
Dearest	1
Dearest!	2
Death	6
Death!--I	1
Death,	1
Death_)	1
Decide	1
Deeming	1
Deep	1
Defect	1
Deine	2
Deinen	2
Deity	1
Delay,	1
Delay.	1
Delivered	1
Demand'st	1
Demeans	2
Den	1
Denies!	1
Deny	1
Departed	1
Departeth	1
Deploring	1
Depose,	1
Des	2
Desert	2
Desiring	1
Despite	2
Destroyer,	1
Destruction,--aught	1
Deuce!	1
Deus,	1
Deutschen	1
Devil	18
Devil!	3
Devil's	2
Devil's,	1
Devil,	5
Devil.	1
Devils	1
Dich	1
Did	3
Die	3
Dilettante	2
Dilettanti	1
Dim,	1
Dipping	1
Dir	2
Dir,	1
Disciple,	1
Dispersed	1
Dissolved	1
Distributed	1
Divided	1
Divides,	1
Do	8
Doctor	3
Doctor's	1
Doctor,	4
Doctor--hight,	1
Doctors	1
Doctors'-banquet	1
Dog!	1
Dolorosa.	1
Don't	8
Donations	2
Done!	1
Dost	4
Doth	1
Down	2
Dr.	4
Dragged	1
Drain	1
Draw	3
Drink,	1
Drives	1
Drizzle,	1
Drove	1
Dryden	1
Du	6
Du,	1
Dumb	1
Durch	1
Dust	1
E'er	1
EBOOK	2
EIN	1
END	1
ENGLISH	2
ENGLISH,	1
EVEN	1
EVENING	2
EVIL	5
EXCEPT	1
EXPRESS	1
Each	15
Earn	1
Earth	8
Earth's	2
Earth,	3
Earth-Spirit_.)	1
Earth?	1
Earth’s	1
East	1
Easter	1
Easter’s	1
Eavesdropping,	1
Echos,	1
Eden-brightness	1
Edition_	1
Elegies'	1
Elend_.	1
Email	1
Emerald	1
Enamored	2
Endless,	1
English	27
English,	3
English.	1
Enjoin	1
Enjoy	1
Enough	1
Enough!	1
Enough,	1
Ensnares	1
Enter	1
Enter!	1
Entreating	1
Epistles,"	1
Equator!	1
Erde	1
Error	1
Error's	1
Error,	1
Error?	1
Erwiedern	1
Especially	2
Essence	1
Eternal	2
Eternal!--for	1
Eternal,	1
Europe,	1
Even	2
Evening	1
Ever	1
Every	1
Everywhere	1
Evil	4
Except	3
Exorcism_)	1
Explain,	1
FAIR	3
FAUST	243
FAUST'S	2
FAUST)	8
FAUST,	4
FAUST.	4
FAUST.)	1
FAUST:	1
FELLOW	1
FELLOWS	1
FIELD	2
FIFTH	1
FIRST	4
FITNESS	1
FOR	3
FOREST	2
FORM	1
FOUNDATION,	1
FOUNTAIN	2
FOURTH	1
FROSCH	24
FROSCH)	1
FROSCH.)	2
FULL	2
Fable;	1
Fails	1
Fair	2
Fairy	1
Faith	2
Faith,	1
Faithful	1
False	2
Falters,	1
Famulus!	1
Fancy	3
Fancy's	1
Far	2
Farewell!	2
Fate	1
Father	2
Father!	1
Father;	1
Fatherland	1
Faust	2
Faust!	1
Faust,	2
Faust:	1
Faust?	2
Fear	1
Feel	1
Feeling	1
Fell	1
Fie!	1
Fiend	1
Fill	1
Filling	1
Finally	1
Find'st	1
Finding	1
Fire!	1
Fire,	1
First	7
First,	2
First_)	1
Five	1
Fix	2
Flame	1
Flames	1
Float	1
Flotten	1
Flow	2
Flown	1
Fly	3
Fly!	1
Fly-snout	2
Folds	1
Follow	3
Followers,	1
Follows	2
Folly	1
For	48
For,	2
Foreboding	1
Foreign	1
Forerunning	1
Forfeit	1
Forgiveness	1
Forgiver,	1
Forms!	1
Forsooth!	1
Forsooth,	2
Foundation	13
Foundation,	5
Foundation.	1
